Sta node#,distance,timerx(notassociated),timeidle(notassociated),timetx(notassociated),timesleep(notassociated),timecollision(notassociated)
0,184.019,1.6776,(0.28172),30.6999,(1.31986),0.02092,(0.0048),29.8939,(0),0.000322351,(0.000971812)
1,139.438,1.74004,(0.07152),30.7978,(0.506593),0.02092,(0.0032),30.7592,(0),0.000485227,(0.000322745)
2,178.31,1.8338,(0.05512),31.197,(0.501955),0.02092,(0.0032),30.2872,(0),0.000485563,(0.000322668)
3,179.844,1.7382,(0.16744),30.5937,(0.912768),0.02092,(0.0048),30.4612,(0),0.000484041,(0.000486238)
4,191.165,1.71852,(0.08308),31.2621,(0.510221),0.02092,(0.0032),30.3012,(0),0.000324817,(0.000483521)
5,119.755,1.63252,(0.27436),30.3911,(1.31593),0.02092,(0.0032),30.2608,(0),0.000162536,(0.000970418)
6,133.522,1.76616,(0.0786),31.3296,(0.508175),0.02092,(0.0032),30.1925,(0),0.000325128,(0.000483433)
7,176.823,1.60784,(0.36696),30.2357,(1.71785),0.02656,(0.0048),29.9391,(0),3.78e-07,(0.00113368)
8,127.777,1.59348,(0.37368),30.687,(1.72043),0.02092,(0.0048),29.4986,(0),3.33e-07,(0.0011335)
9,155.397,1.71628,(0.08308),30.8029,(0.511375),0.02092,(0.0048),30.7592,(0),0.000326619,(0.00112316)
10,147.74,1.74916,(0.10732),30.9718,(0.898927),0.02324,(0.0032),30.1455,(0),0.000325168,(0.000484746)
11,162.887,1.74828,(0.05996),30.8042,(0.503429),0.02092,(0.0032),30.7592,(0),0.000487988,(0.000322048)
12,136.478,1.66688,(0.26988),30.8309,(1.31373),0.02092,(0.0032),29.7934,(0),0.000163184,(0.000970556)
13,151.34,1.7606,(0.08084),30.7502,(0.509121),0.02656,(0.0032),30.7686,(0),0.000326903,(0.000482766)
14,195.223,1.65048,(0.37144),30.9228,(1.71922),0.02324,(0.0048),29.2068,(0),5.02e-07,(0.00113393)
15,191.62,1.72692,(0.18536),30.5809,(0.918921),0.02092,(0.0048),30.4612,(0),0.0003249,(0.000646616)
16,163.571,1.7796,(0.25536),31.1222,(1.31056),0.02092,(0.0032),29.4048,(0),0.00246944,(0.000970314)
17,171.73,1.62916,(0.30272),30.1771,(1.70309),0.02324,(0.0032),30.0604,(0),0.000161812,(0.000971426)
18,114.16,1.68672,(0.2766),30.7882,(1.31688),0.02092,(0.0032),29.8062,(0),0.00032318,(0.000969677)
19,160.697,1.68236,(0.3518),30.4412,(1.71358),0.0312,(0.0032),29.696,(0),0.00400268,(0.0011324)
20,101.63,1.81456,(0.0302),31.2502,(0.496987),0.02092,(0.0032),30.2831,(0),0.000805924,(1.255e-06)
21,124.289,1.63128,(0.28396),30.3765,(1.3206),0.02092,(0.0048),30.2608,(0),0.000161891,(0.000969689)
22,113.723,1.83416,(0.0622),31.1693,(0.50401),0.02092,(0.0032),30.3054,(0),0.000485625,(0.000321413)
23,180.418,1.71212,(0.18796),30.5875,(0.922111),0.02092,(0.0064),30.4612,(0),0.00048344,(0.00128569)
24,115.668,1.61668,(0.30756),30.606,(1.70399),0.02092,(0.0032),29.6405,(0),0.000160518,(0.000970391)
25,140.094,1.7588,(0.14744),30.7701,(0.907021),0.02424,(0.0032),30.2862,(0),0.0024873,(0.000484081)
26,112.979,1.731,(0.23564),30.8055,(1.30581),0.02092,(0.0032),29.7966,(0),0.000483895,(0.000808285)
27,110.881,1.78836,(0.04544),30.8085,(0.5),0.02092,(0.0032),30.7327,(0),0.000645791,(0.000161423)
28,199.892,1.74736,(0.11476),31.0248,(0.900619),0.02092,(0.0032),30.0876,(0),0.000323147,(0.000483799)
29,121.826,1.78932,(0.15676),30.6367,(0.909501),0.02324,(0.0032),30.3803,(0),0.000484366,(0.000484923)
30,151.293,1.7924,(0.3176),31.3737,(1.70642),0.02656,(0.0032),28.6924,(0),0.00246683,(0.000970346)
31,183.911,1.77216,(0.06928),30.7684,(0.506065),0.02092,(0.0032),30.7592,(0),0.000486272,(0.000321592)
32,161.264,1.60064,(0.33024),30.7315,(1.70891),0.02424,(0.0032),29.5001,(0),5.47e-07,(0.0011309)
33,129.603,1.76932,(0.15452),30.5844,(0.908919),0.02092,(0.0032),30.4577,(0),0.000484737,(0.000485232)
34,163.755,1.7248,(0.22356),31.0344,(1.30359),0.02324,(0.0032),29.5861,(0),0.000484274,(0.000647581)
35,152.429,1.71148,(0.18088),30.6019,(0.917811),0.02092,(0.0048),30.4612,(0),0.000324386,(0.000646258)
36,149.358,1.74848,(0.07636),31.2368,(0.507704),0.02092,(0.0032),30.3058,(0),0.000486989,(0.000321997)
37,197.278,1.66248,(0.26764),30.3951,(1.3132),0.02092,(0.0032),30.2363,(0),0.000163168,(0.000969364)
38,129.252,1.85024,(0.17416),31.4229,(0.915391),0.02092,(0.0048),29.5083,(0),0.00263116,(0.000646437)
39,177.136,1.74804,(0.08856),30.7883,(0.515458),0.02656,(0.0064),30.7236,(0),0.00201587,(0.00112233)
40,152.674,1.78048,(0.1642),31.3302,(0.911554),0.02092,(0.0032),29.6885,(0),0.000485603,(0.000486086)
